loan_date,loan_amount,loan_duration,loan_payments,loan_status,account_creation,transaction_count,transaction_avg_amount,transaction_min_balance,transaction_max_balance,transaction_avg_balance
940105,80952,24,3373,1,930226,54,7954.257407407405,1100,67529.6,32590.624074074076
960429,30276,12,2523,-1,950407,80,5856.299999999997,715,58157.5,25197.092499999995
960502,165960,24,6915,1,941019,125,12822.353600000013,700,107069.6,52523.244800000015
961106,88440,12,7370,1,960511,31,14850.767741935484,200,103239,62778.09032258065
940531,104808,12,8734,1,931126,30,6642.553333333334,500,57865.3,38709.83
941103,123696,48,2577,1,931202,61,8953.219672131145,300,89822.2,49084.38196721313
941221,100980,60,1683,1,931201,70,5261.048571428569,600,53376.7,35614.7442857143
950501,187224,24,7801,-1,931213,88,10834.715909090908,-243.3,92571.3,42084.31136363635
940719,252060,60,4201,-1,931129,61,11625.12295081967,900,106259.6,57340.50819672133
961024,262980,60,4383,1,951021,56,7310.239285714281,900,78574.3,41729.61607142859
960822,91152,24,3798,1,950515,77,9452.94415584415,400,72327.7,44829.544155844145
951123,73056,48,1522,1,950206,51,2445.3274509803928,500,33555.4,23255.149019607838
940724,208128,48,4336,-1,930511,64,9442.159374999994,-1069.7,96064,36369.975000000006
960411,215616,48,4492,-1,950613,61,5273.670491803279,-3424.6,50124.8,21447.62459016394
940511,24312,12,2026,1,930210,78,4949.474358974356,1100,48277.9,29380.839743589757
950108,48624,24,2026,1,930805,117,12180.788034188035,200,134187.4,63857.23675213676
950217,538500,60,8975,1,940318,58,8499.934482758617,200,69775.9,33687.85862068965
960728,187104,24,7796,1,960309,25,19621.447999999997,300,137193.5,66292.37199999999
950530,87216,48,1817,1,930921,148,2960.69797297297,700,43787.3,30847.149324324342
950916,309552,48,6449,1,950118,35,17429.002857142852,700,121713.2,56105.49999999998
960529,284280,60,4738,1,941115,94,14790.499999999995,300,109361.9,64182.64148936171
950524,189060,60,3151,1,941102,30,17833.45,200,101793.6,72242.8966666667
951218,204000,60,3400,1,941217,65,7701.987692307689,400,68172.8,37809.39846153844
941028,98184,24,4091,1,940709,14,9311.157142857144,500,68956.1,41660.392857142855
940120,253200,60,4220,1,930510,41,11912.358536585367,800,104417.9,47302.54634146341
941112,192552,24,8023,-1,930829,51,5774.419607843137,800,49563,23979.01176470588
940207,149040,48,3105,1,930421,54,6682.029629629627,200,62441.6,36845.588888888895
950316,99696,48,2077,-1,930608,108,11716.779629629627,-974.6,127684.9,46341.293518518505
961125,182640,48,3805,1,960328,40,9227.599999999999,600,64411.8,37802.23
950529,71064,36,1974,1,940421,86,4896.447674418602,700,55373.3,34577.30232558139
950829,45336,24,1889,1,940427,90,7594.232222222218,800,71486,48152.95333333335
941119,164052,36,4557,-1,931117,65,11809.263076923076,-2564.7,112045.6,41752.161538461536
960824,388512,48,8094,-1,941117,120,7319.423333333334,-2838.8,84743.5,21371.320000000003
940206,78936,12,6578,1,930509,51,3259.0000000000005,900,40560.3,25900.319607843143
960706,141948,36,3943,1,960314,10,8963.980000000001,800,63263.1,32592.680000000004
950428,248148,36,6893,1,931211,120,5453.364999999997,600,67486,36063.78833333336
960615,30060,60,501,1,940903,186,4858.978494623653,500,69382.9,37213.40752688173
960313,202788,36,5633,1,950220,79,16141.211392405066,1100,139880.9,57124.26835443036
930705,96396,12,8033,-1,930322,4,5025,1100,20100,12250
930711,165960,36,4610,1,930213,37,11015.635135135135,700,120512.8,52083.859459459454
940623,239460,60,3991,1,930922,46,9689.680434782606,300,74408.8,40061.58043478261
930803,105804,36,2939,1,930130,25,8253.079999999998,1000,65898.5,41297.48
961016,396120,60,6602,1,950415,95,15418.108421052631,500,104859.1,58855.27789473684
960731,162468,36,4513,1,960305,15,15082.586666666666,700,83862.8,51279.553333333344
960421,249312,48,5194,1,950213,60,9995.911666666665,900,88597.4,35914.85499999998
941204,205200,36,5700,1,930611,129,9244.202325581391,900,93928.5,58336.311627907
