district_id,count,relative
1,554,12.3111
2,42,0.9333
3,50,1.1111
4,48,1.0667
5,65,1.4444
6,48,1.0667
7,44,0.9778
8,56,1.2444
9,46,1.0222
10,48,1.0667
11,48,1.0667
12,42,0.9333
13,37,0.8222
14,41,0.9111
15,50,1.1111
16,52,1.1556
17,42,0.9333
18,46,1.0222
19,55,1.2222
20,36,0.8
21,48,1.0667
22,36,0.8
23,50,1.1111
24,42,0.9333
25,42,0.9333
26,45,1.0
27,39,0.8667
28,45,1.0
29,43,0.9556
30,38,0.8444
31,50,1.1111
32,48,1.0667
33,49,1.0889
34,39,0.8667
35,43,0.9556
36,57,1.2667
37,37,0.8222
38,54,1.2
39,41,0.9111
40,44,0.9778
41,45,1.0
42,48,1.0667
43,49,1.0889
44,50,1.1111
45,41,0.9111
46,59,1.3111
47,53,1.1778
48,53,1.1778
49,37,0.8222
50,48,1.0667
51,49,1.0889
52,57,1.2667
53,50,1.1111
54,128,2.8444
55,53,1.1778
56,44,0.9778
57,41,0.9111
58,32,0.7111
59,57,1.2667
60,51,1.1333
61,45,1.0
62,44,0.9778
63,49,1.0889
64,92,2.0444
65,39,0.8667
66,53,1.1778
67,43,0.9556
68,83,1.8444
69,48,1.0667
70,152,3.3778
71,42,0.9333
72,88,1.9556
73,56,1.2444
74,135,3.0
75,51,1.1333
76,55,1.2222
77,40,0.8889
