average salary,count,relative
8110,1,1.2987
8114,1,1.2987
8173,1,1.2987
8187,1,1.2987
8208,1,1.2987
8240,1,1.2987
8254,1,1.2987
8288,1,1.2987
8363,1,1.2987
8369,2,2.5974
8388,1,1.2987
8390,1,1.2987
8402,1,1.2987
8403,1,1.2987
8427,1,1.2987
8441,1,1.2987
8444,1,1.2987
8507,1,1.2987
8512,1,1.2987
8541,1,1.2987
8544,1,1.2987
8546,1,1.2987
8547,1,1.2987
8554,1,1.2987
8561,1,1.2987
8594,1,1.2987
8598,1,1.2987
8620,1,1.2987
8624,1,1.2987
8678,1,1.2987
8705,1,1.2987
8720,1,1.2987
8743,1,1.2987
8746,1,1.2987
8754,1,1.2987
8757,1,1.2987
8772,1,1.2987
8814,1,1.2987
8819,1,1.2987
8843,1,1.2987
8867,1,1.2987
8899,1,1.2987
8909,1,1.2987
8930,1,1.2987
8965,1,1.2987
8968,1,1.2987
8980,1,1.2987
8991,1,1.2987
8994,1,1.2987
9045,1,1.2987
9060,1,1.2987
9065,1,1.2987
9104,1,1.2987
9198,1,1.2987
9272,1,1.2987
9307,1,1.2987
9317,1,1.2987
9425,1,1.2987
9538,1,1.2987
9622,1,1.2987
9624,1,1.2987
9650,1,1.2987
9675,1,1.2987
9753,1,1.2987
9832,1,1.2987
9893,1,1.2987
9897,1,1.2987
9920,1,1.2987
10045,1,1.2987
10124,1,1.2987
10177,1,1.2987
10446,1,1.2987
10673,1,1.2987
10787,1,1.2987
11277,1,1.2987
12541,1,1.2987
