no. of commited crimes 96,count,relative
888,1,1.2987
1099,1,1.2987
1117,1,1.2987
1127,1,1.2987
1181,1,1.2987
1358,1,1.2987
1452,1,1.2987
1460,1,1.2987
1525,1,1.2987
1542,1,1.2987
1668,1,1.2987
1717,1,1.2987
1875,1,1.2987
1879,1,1.2987
1903,1,1.2987
1910,1,1.2987
1913,1,1.2987
2059,1,1.2987
2103,1,1.2987
2122,1,1.2987
2123,1,1.2987
2134,1,1.2987
2218,1,1.2987
2252,1,1.2987
2305,1,1.2987
2325,1,1.2987
2354,1,1.2987
2471,1,1.2987
2487,1,1.2987
2618,1,1.2987
2674,1,1.2987
2718,1,1.2987
2799,1,1.2987
2804,1,1.2987
2807,1,1.2987
2813,1,1.2987
2822,1,1.2987
2906,1,1.2987
3040,1,1.2987
3079,1,1.2987
3120,1,1.2987
3158,1,1.2987
3198,1,1.2987
3529,1,1.2987
3590,1,1.2987
3620,1,1.2987
3651,1,1.2987
3839,1,1.2987
3868,1,1.2987
3891,1,1.2987
3894,1,1.2987
4166,1,1.2987
4265,1,1.2987
4316,1,1.2987
4433,1,1.2987
4505,2,2.5974
4595,1,1.2987
4743,1,1.2987
4846,1,1.2987
4859,1,1.2987
4987,1,1.2987
5190,1,1.2987
5273,1,1.2987
5410,1,1.2987
5471,1,1.2987
5887,1,1.2987
5892,1,1.2987
6132,1,1.2987
6261,1,1.2987
6295,1,1.2987
6872,1,1.2987
9208,1,1.2987
10108,1,1.2987
18347,1,1.2987
18696,1,1.2987
99107,1,1.2987
