unemploymant rate 96,count,relative
0.43,1,1.2987
0.54,1,1.2987
0.59,1,1.2987
1.21,1,1.2987
1.25,1,1.2987
1.29,1,1.2987
1.44,1,1.2987
1.54,1,1.2987
1.71,1,1.2987
1.81,1,1.2987
1.85,1,1.2987
1.86,1,1.2987
1.96,1,1.2987
2.01,2,2.5974
2.07,1,1.2987
2.21,1,1.2987
2.26,1,1.2987
2.31,2,2.5974
2.43,1,1.2987
2.44,1,1.2987
2.5,1,1.2987
2.62,1,1.2987
2.66,1,1.2987
2.68,1,1.2987
2.87,1,1.2987
2.89,1,1.2987
2.94,1,1.2987
2.97,1,1.2987
3.09,1,1.2987
3.22,1,1.2987
3.26,1,1.2987
3.35,1,1.2987
3.47,1,1.2987
3.49,1,1.2987
3.56,1,1.2987
3.6,2,2.5974
3.64,1,1.2987
3.67,1,1.2987
3.74,1,1.2987
3.76,1,1.2987
3.95,1,1.2987
3.97,1,1.2987
3.98,1,1.2987
4.02,1,1.2987
4.12,1,1.2987
4.2,1,1.2987
4.28,1,1.2987
4.31,1,1.2987
4.43,1,1.2987
4.48,2,2.5974
4.5,1,1.2987
4.52,1,1.2987
4.72,1,1.2987
4.79,1,1.2987
4.98,1,1.2987
5.05,1,1.2987
5.39,1,1.2987
5.44,1,1.2987
5.45,1,1.2987
5.56,1,1.2987
5.57,1,1.2987
5.66,1,1.2987
5.72,1,1.2987
5.74,1,1.2987
5.88,1,1.2987
6.55,1,1.2987
7.01,1,1.2987
7.07,1,1.2987
7.61,1,1.2987
7.68,1,1.2987
7.75,1,1.2987
8.23,1,1.2987
9.4,1,1.2987
