amount,count,relative
0.0,3,0.0008
0.1,10,0.0025
0.2,14,0.0035
0.3,9,0.0023
0.4,7,0.0018
0.5,8,0.002
0.6,8,0.002
0.7,4,0.001
0.8,12,0.003
0.9,6,0.0015
1.0,70,0.0176
1.1,5,0.0013
1.2,5,0.0013
1.3,6,0.0015
1.4,9,0.0023
1.5,12,0.003
1.6,8,0.002
1.7,13,0.0033
1.8,9,0.0023
1.9,6,0.0015
2.0,67,0.0169
2.1,10,0.0025
2.2,19,0.0048
2.3,5,0.0013
2.4,6,0.0015
2.5,15,0.0038
2.6,8,0.002
2.7,4,0.001
2.8,4,0.001
2.9,14,0.0035
3.0,19,0.0048
3.1,9,0.0023
3.2,7,0.0018
3.3,11,0.0028
3.4,5,0.0013
3.5,6,0.0015
3.6,7,0.0018
3.7,3,0.0008
3.8,8,0.002
3.9,7,0.0018
4.0,100,0.0252
4.1,6,0.0015
4.2,7,0.0018
4.3,9,0.0023
4.4,7,0.0018
4.5,4,0.001
4.6,7,0.0018
4.7,7,0.0018
4.8,6,0.0015
4.9,3,0.0008
5.0,86,0.0217
5.1,3,0.0008
5.2,2,0.0005
5.3,7,0.0018
5.4,6,0.0015
5.5,7,0.0018
5.6,3,0.0008
5.7,5,0.0013
5.8,6,0.0015
5.9,10,0.0025
6.0,4,0.001
6.1,5,0.0013
6.2,4,0.001
6.3,6,0.0015
6.4,7,0.0018
6.5,11,0.0028
6.6,5,0.0013
6.7,8,0.002
6.8,9,0.0023
6.9,7,0.0018
7.0,101,0.0255
7.1,5,0.0013
7.2,6,0.0015
7.3,4,0.001
7.4,3,0.0008
7.5,2,0.0005
7.6,5,0.0013
7.7,3,0.0008
7.8,7,0.0018
7.9,2,0.0005
8.0,79,0.0199
8.1,3,0.0008
8.2,6,0.0015
8.3,7,0.0018
8.4,6,0.0015
8.5,2,0.0005
8.6,5,0.0013
8.7,5,0.0013
8.8,5,0.0013
8.9,7,0.0018
9.0,73,0.0184
9.1,9,0.0023
9.2,5,0.0013
9.3,8,0.002
9.4,8,0.002
9.5,7,0.0018
9.6,7,0.0018
9.7,6,0.0015
9.8,8,0.002
9.9,7,0.0018
10.0,115,0.029
10.1,7,0.0018
10.2,9,0.0023
10.3,13,0.0033
10.4,18,0.0045
10.5,4,0.001
10.6,9,0.0023
10.7,7,0.0018
10.8,6,0.0015
10.9,3,0.0008
11.0,9,0.0023
11.1,11,0.0028
11.2,13,0.0033
11.3,4,0.001
11.4,6,0.0015
11.5,10,0.0025
11.6,3,0.0008
11.7,4,0.001
11.8,9,0.0023
11.9,5,0.0013
12.0,47,0.0118
12.1,10,0.0025
12.2,6,0.0015
12.3,11,0.0028
12.4,9,0.0023
12.5,9,0.0023
12.6,12,0.003
12.7,8,0.002
12.8,10,0.0025
12.9,16,0.004
13.0,24,0.0061
13.1,12,0.003
13.2,7,0.0018
13.3,11,0.0028
13.4,16,0.004
13.5,9,0.0023
13.6,11,0.0028
13.7,8,0.002
13.8,14,0.0035
13.9,6,0.0015
14.0,12,0.003
14.1,12,0.003
14.2,7,0.0018
14.3,7,0.0018
14.4,20,0.005
14.5,9,0.0023
14.6,54727,13.7961
14.7,6,0.0015
14.8,14,0.0035
14.9,13,0.0033
15.0,40,0.0101
15.1,15,0.0038
15.2,12,0.003
15.3,10,0.0025
15.4,17,0.0043
15.5,7,0.0018
15.6,14,0.0035
15.7,9,0.0023
15.8,17,0.0043
15.9,18,0.0045
16.0,63,0.0159
16.1,9,0.0023
16.2,13,0.0033
16.3,12,0.003
16.4,8,0.002
16.5,20,0.005
16.6,6,0.0015
16.7,23,0.0058
16.8,16,0.004
16.9,11,0.0028
17.0,91,0.0229
17.1,12,0.003
17.2,11,0.0028
17.3,18,0.0045
17.4,8,0.002
17.5,15,0.0038
17.6,5,0.0013
17.7,10,0.0025
17.8,20,0.005
17.9,14,0.0035
18.0,34,0.0086
18.1,11,0.0028
18.2,9,0.0023
18.3,13,0.0033
18.4,17,0.0043
18.5,16,0.004
18.6,9,0.0023
18.7,12,0.003
18.8,9,0.0023
18.9,7,0.0018
19.0,50,0.0126
19.1,6,0.0015
19.2,7,0.0018
19.3,9,0.0023
19.4,7,0.0018
19.5,11,0.0028
19.6,8,0.002
19.7,11,0.0028
19.8,9,0.0023
19.9,6,0.0015
20.0,16,0.004
20.1,14,0.0035
20.2,14,0.0035
20.3,11,0.0028
20.4,10,0.0025
20.5,11,0.0028
20.6,15,0.0038
20.7,18,0.0045
20.8,15,0.0038
20.9,10,0.0025
21.0,42,0.0106
21.1,15,0.0038
21.2,8,0.002
21.3,16,0.004
21.4,9,0.0023
21.5,8,0.002
21.6,5,0.0013
21.7,18,0.0045
21.8,13,0.0033
21.9,15,0.0038
22.0,33,0.0083
22.1,7,0.0018
22.2,13,0.0033
22.3,12,0.003
22.4,5,0.0013
22.5,9,0.0023
22.6,25,0.0063
22.7,10,0.0025
22.8,11,0.0028
22.9,9,0.0023
23.0,46,0.0116
23.1,6,0.0015
23.2,10,0.0025
23.3,11,0.0028
23.4,15,0.0038
23.5,9,0.0023
23.6,6,0.0015
23.7,16,0.004
23.8,4,0.001
23.9,13,0.0033
24.0,7,0.0018
24.1,12,0.003
24.2,11,0.0028
24.3,16,0.004
24.4,9,0.0023
24.5,10,0.0025
24.6,10,0.0025
24.7,18,0.0045
24.8,9,0.0023
24.9,9,0.0023
25.0,10,0.0025
25.1,6,0.0015
25.2,8,0.002
25.3,5,0.0013
25.4,7,0.0018
25.5,10,0.0025
25.6,13,0.0033
25.7,3,0.0008
25.8,13,0.0033
25.9,8,0.002
26.0,76,0.0192
26.1,11,0.0028
26.2,14,0.0035
26.3,2,0.0005
26.4,8,0.002
26.5,11,0.0028
26.6,14,0.0035
26.7,9,0.0023
26.8,11,0.0028
26.9,8,0.002
27.0,49,0.0124
27.1,11,0.0028
27.2,14,0.0035
27.3,9,0.0023
27.4,10,0.0025
27.5,10,0.0025
27.6,9,0.0023
27.7,11,0.0028
27.8,13,0.0033
27.9,7,0.0018
28.0,21,0.0053
28.1,13,0.0033
28.2,16,0.004
28.3,14,0.0035
28.4,11,0.0028
28.5,11,0.0028
28.6,22,0.0055
28.7,10,0.0025
28.8,7,0.0018
28.9,13,0.0033
29.0,58,0.0146
29.1,9,0.0023
29.2,17,0.0043
29.3,5,0.0013
29.4,17,0.0043
29.5,13,0.0033
29.6,16,0.004
29.7,10,0.0025
29.8,4,0.001
29.9,6,0.0015
30.0,2675,0.6743
30.1,15,0.0038
30.2,21,0.0053
30.3,5,0.0013
30.4,12,0.003
30.5,8,0.002
30.6,11,0.0028
30.7,10,0.0025
30.8,7,0.0018
30.9,7,0.0018
31.0,90,0.0227
31.1,5,0.0013
31.2,20,0.005
31.3,6,0.0015
31.4,16,0.004
31.5,11,0.0028
31.6,7,0.0018
31.7,8,0.002
31.8,7,0.0018
31.9,7,0.0018
32.0,5,0.0013
32.1,9,0.0023
32.2,11,0.0028
32.3,5,0.0013
32.4,10,0.0025
32.5,8,0.002
32.6,6,0.0015
32.7,8,0.002
32.8,12,0.003
32.9,10,0.0025
33.0,121,0.0305
33.1,8,0.002
33.2,8,0.002
33.3,10,0.0025
33.4,8,0.002
33.5,4,0.001
33.6,6,0.0015
33.7,7,0.0018
33.8,5,0.0013
33.9,5,0.0013
34.0,52,0.0131
34.1,2,0.0005
34.2,4,0.001
34.3,7,0.0018
34.4,5,0.0013
34.5,2,0.0005
34.6,3,0.0008
34.7,4,0.001
34.8,9,0.0023
34.9,9,0.0023
35.0,8,0.002
35.1,6,0.0015
35.2,4,0.001
35.3,8,0.002
35.4,4,0.001
35.5,10,0.0025
35.6,14,0.0035
35.7,9,0.0023
35.8,6,0.0015
35.9,8,0.002
36.0,6,0.0015
36.1,13,0.0033
36.2,6,0.0015
36.3,8,0.002
36.4,6,0.0015
36.5,8,0.002
36.6,6,0.0015
36.7,6,0.0015
36.8,8,0.002
36.9,7,0.0018
37.0,22,0.0055
37.1,5,0.0013
37.2,5,0.0013
37.3,7,0.0018
37.4,7,0.0018
37.5,8,0.002
37.6,6,0.0015
37.7,7,0.0018
37.8,7,0.0018
37.9,3,0.0008
38.0,55,0.0139
38.1,6,0.0015
38.2,9,0.0023
38.3,6,0.0015
38.4,7,0.0018
38.5,12,0.003
38.6,6,0.0015
38.7,4,0.001
38.8,8,0.002
38.9,6,0.0015
39.0,7,0.0018
39.1,10,0.0025
39.2,5,0.0013
39.3,10,0.0025
39.4,11,0.0028
39.5,7,0.0018
39.6,3,0.0008
39.7,12,0.003
39.8,8,0.002
39.9,2,0.0005
40.0,103,0.026
40.1,7,0.0018
40.2,5,0.0013
40.3,4,0.001
40.4,10,0.0025
40.5,7,0.0018
40.6,7,0.0018
40.7,14,0.0035
40.8,10,0.0025
40.9,4,0.001
41.0,101,0.0255
41.1,8,0.002
41.2,3,0.0008
41.3,9,0.0023
41.4,9,0.0023
41.5,8,0.002
41.6,5,0.0013
41.7,5,0.0013
41.8,4,0.001
41.9,5,0.0013
42.0,25,0.0063
42.1,8,0.002
42.2,9,0.0023
42.3,6,0.0015
42.4,10,0.0025
42.5,4,0.001
42.6,10,0.0025
42.7,6,0.0015
42.8,9,0.0023
42.9,9,0.0023
43.0,111,0.028
43.1,8,0.002
43.2,8,0.002
43.3,9,0.0023
43.4,14,0.0035
43.5,12,0.003
43.6,8,0.002
43.7,6,0.0015
43.8,5,0.0013
43.9,8,0.002
44.0,19,0.0048
44.1,14,0.0035
44.2,13,0.0033
44.3,5,0.0013
44.4,2,0.0005
44.5,6,0.0015
44.6,9,0.0023
44.7,7,0.0018
44.8,9,0.0023
44.9,6,0.0015
45.0,9,0.0023
45.1,8,0.002
45.2,6,0.0015
45.3,8,0.002
45.4,5,0.0013
45.5,7,0.0018
45.6,9,0.0023
45.7,5,0.0013
45.8,13,0.0033
45.9,4,0.001
46.0,89,0.0224
46.1,6,0.0015
46.2,5,0.0013
46.3,6,0.0015
46.4,8,0.002
46.5,7,0.0018
46.6,7,0.0018
46.7,4,0.001
46.8,6,0.0015
46.9,8,0.002
47.0,40,0.0101
47.1,16,0.004
47.2,3,0.0008
47.3,8,0.002
47.4,10,0.0025
47.5,9,0.0023
47.6,5,0.0013
47.7,5,0.0013
47.8,6,0.0015
47.9,9,0.0023
48.0,34,0.0086
48.1,9,0.0023
48.2,11,0.0028
48.3,7,0.0018
48.4,2,0.0005
48.5,7,0.0018
48.6,9,0.0023
48.7,6,0.0015
48.8,10,0.0025
48.9,8,0.002
49.0,53,0.0134
49.1,6,0.0015
49.2,7,0.0018
49.3,10,0.0025
49.4,11,0.0028
49.5,5,0.0013
49.6,11,0.0028
49.7,6,0.0015
49.8,7,0.0018
49.9,3,0.0008
50.0,11,0.0028
50.1,13,0.0033
